Date,Value2b,Value3b,Value4b,Value5b
2013-01-31,74950.0,89900.0,147200.0,229700.0
2013-02-28,74900.0,90000.0,144500.0,228851.0
2013-03-31,78250.0,92000.0,148000.0,234592.5
2013-04-30,77000.0,89900.0,150990.0,225000.0
2013-05-31,79900.0,94900.0,154900.0,224950.0
2013-06-30,79000.0,94900.0,159900.0,219900.0
2013-07-31,79900.0,99000.0,159450.0,219250.0
2013-08-31,79000.0,94900.0,159832.5,214900.0
2013-09-30,79900.0,95000.0,159000.0,216950.0
2013-10-31,89999.0,93500.0,157000.0,224017.5
2013-11-30,85900.0,93950.0,157450.0,225000.0
2013-12-31,84725.0,90000.0,157000.0,224950.0
2014-01-31,84900.0,89700.0,149250.0,229395.0
2014-02-28,84900.0,89700.0,149950.0,232273.0
2014-03-31,82000.0,89900.0,158862.5,225000.0
2014-04-30,83900.0,99000.0,159900.0,219900.0
2014-05-31,79999.0,94900.0,159900.0,232400.0
2014-06-30,82950.0,94900.0,166919.5,224665.0
2014-07-31,82950.0,94900.0,168607.5,239300.0
2014-08-31,84900.0,89900.0,169900.0,239900.0
2014-09-30,79900.0,85900.0,154500.0,239300.0
2014-10-31,77350.0,89250.0,154700.0,244900.0
2014-11-30,74200.0,89000.0,141900.0,244900.0
2014-12-31,69850.0,80000.0,159900.0,247445.0
2015-01-31,69900.0,84950.0,189395.0,250090.0
2015-02-28,65000.0,89700.0,190025.0,250090.0
2015-03-31,65750.0,89500.0,204900.0,254900.0
2015-04-30,69000.0,85450.0,208900.0,249160.0
2015-05-31,69800.0,84900.0,190490.0,240440.0
2015-06-30,69850.0,85900.0,193900.0,238965.0
2015-07-31,65000.0,85000.0,198900.0,255000.0
2015-08-31,65000.0,89900.0,198900.0,261337.5
2015-09-30,66950.0,89900.0,193900.0,266295.0
2015-10-31,59900.0,85000.0,199840.0,269900.0
2015-11-30,50000.0,85000.0,190490.0,274900.0
2015-12-31,53400.0,85000.0,195135.0,269900.0
2016-01-31,52900.0,89888.0,206195.0,264775.0
2016-02-29,54900.0,89900.0,198900.0,277839.0
2016-03-31,54850.0,86230.0,199500.0,277839.0
2016-04-30,59900.0,85600.0,205182.5,271400.0
2016-05-31,69900.0,87000.0,197950.0,265332.5
2016-06-30,69900.0,87000.0,196250.0,276089.0
2016-07-31,74950.0,85900.0,196900.0,272900.0
2016-08-31,77900.0,85900.0,194900.0,280900.0
2016-09-30,73949.5,84900.0,196900.0,272495.0
2016-10-31,65000.0,84900.0,197400.0,275000.0
2016-11-30,69900.0,83900.0,199470.0,277950.0
2016-12-31,67450.0,84900.0,191900.0,279900.0
2017-01-31,65000.0,89900.0,187900.0,259945.0
2017-02-28,69900.0,88000.0,193950.0,259925.0
2017-03-31,70950.0,89250.0,197500.0,257700.0
2017-04-30,69950.0,89900.0,194700.0,256195.0
2017-05-31,75250.0,89888.0,198950.0,255040.0
2017-06-30,76605.0,89900.0,200550.0,250000.0
2017-07-31,77900.0,93245.0,199900.0,249999.0
2017-08-31,73500.0,90500.0,210800.0,249999.0
